Player,Pos,Age,MP,Starts,Min,90s,Gls,Ast,xG
Christian Mafla\f379bc1e,DF,28,9,7,517,5.7,0,0,0.0
Nicolás Lodeiro\fe81d0d1,MFFW,31,9,4,460,5.1,0,0,0.7
Erik Hurtado\b11e6f2b,FWMF,30,9,3,295,3.3,0,0,1.0
Wilson Harris\ca0756aa,FW,21,9,2,178,2.0,0,0,0.2
Blake Bodily\612a0951,FWDF,23,9,2,205,2.3,0,0,0.2
Grayson Barber\8504b10a,FWMF,20,9,2,218,2.4,0,0,0.2
Jalil Anibaba\e44593b0,DF,32,9,7,635,7.1,1,0,0.3
Machop Malual\1701b012,FW,22,9,4,427,4.7,0,1,0.4
Jürgen Locadia\6cc47ae1,FWMF,27,9,2,364,4.0,1,0,2.5
José Mauri\644faf10,MF,24,9,8,603,6.7,1,1,0.1
McKinze Gaines\8ef72983,FW,22,9,1,212,2.4,1,0,0.8
Mateo Bajamich\d005b036,FWMF,21,9,1,139,1.5,0,1,0.2
Quentin Westberg\5480ae05,GK,34,10,10,900,10.0,0,0,0.0
Amar Sejdic\43ca2019,MF,24,10,5,427,4.7,0,0,0.2
Manny Perez\27162b95,FWMF,21,10,4,377,4.2,0,0,1.5
John Nelson\df8c4d49,DF,22,10,6,555,6.2,0,0,0.0
Jon Kempin\063adc5e,GK,27,10,9,884,9.8,0,0,0.0
Mark-Anthony Kaye\36a38acd,MF,26,10,9,755,8.4,0,0,0.8
Joevin Jones\fc23d956,DF,29,10,5,519,5.8,0,0,0.0
Sami Guediri\e3dc71a7,DF,23,10,2,210,2.3,0,0,0.1
A.J. DeLaGarza\171b3c37,DF,33,10,5,505,5.6,0,0,0.3
Jürgen Damm\bbf8bf7a,FWDF,28,10,1,162,1.8,0,0,0.0
Daniel Crisostomo\33fdd2aa,MF,24,10,5,393,4.4,0,0,0.1
Clement Bayiha\ca9f2034,DF,21,10,2,287,3.2,0,0,0.0
Alexander Alvarado\7302ba2b,FWMF,21,10,2,197,2.2,0,0,0.0
Adalberto Carrasquilla\f087912d,MF,22,10,7,558,6.2,1,0,0.6
Tayvon Gray\c839e1b2,DF,18,10,3,380,4.2,0,1,0.2
Fanendo Adi\ae2dd50a,FW,30,10,1,210,2.3,1,0,1.0
Ramón Ábila\db5ee72d,FW,31,10,1,268,3.0,2,0,2.7
Gabriel Slonina\c55a846e,GK,16,11,11,990,11.0,0,0,0.0
Michael Nelson\f4a12161,GK,25,11,11,990,11.0,0,0,0.0
Zac McGraw\83129dc7,DF,23,11,2,282,3.1,0,0,0.3
Phelipe Megiolaro\73aaa27d,GK,21,11,10,930,10.3,0,1,0.0
Tyler Blackett\a68a5466,DF,26,11,8,775,8.6,1,0,0.4
Steven Beitashour\64f1680a,DF,33,11,6,588,6.5,0,1,0.0
Ralph Priso-Mbongue\acb3e899,MF,18,11,7,570,6.3,1,0,0.1
Kevin Molino\371645ca,FWMF,30,11,7,575,6.4,1,0,1.6
Stanislav Ivanov\0cafba94,FW,21,11,6,518,5.8,0,1,0.4
Jahkeele Marshall-Rutty\b9459f85,FWDF,16,11,4,425,4.7,0,1,0.3
Jeremy Ebobisse\5fa7b2ec,FW,23,11,9,758,8.4,1,1,3.3
Zico Bailey\aa9e1161,DF,20,11,9,683,7.6,1,1,0.2
Nicolas Benezet\30395d3b,FWMF,29,11,1,292,3.2,0,1,0.6
Younes Namli\1a672e2d,MFFW,26,11,6,533,5.9,1,1,0.5
Edward Kizza\2f2c0ab1,FW,22,11,3,265,2.9,0,1,0.7
Tsubasa Endoh\46dca6e8,FWMF,27,11,7,511,5.7,1,1,0.1
Ayo Akinola\214d2406,FW,21,11,8,645,7.2,3,0,2.2
Griffin Yow\ddd5cf39,DFFW,18,11,1,240,2.7,1,1,0.3
Ryan Shawcross\285a3d44,DF,33,12,9,818,9.1,0,0,0.3
Drew Moor\220cf869,DF,37,12,1,310,3.4,0,0,0.0
Matt LaGrassa\c9b098db,MF,28,12,4,371,4.1,0,0,0.2
Anthony Fontana\1f34358e,MFFW,21,12,4,351,3.9,0,0,1.1
Oniel Fisher\ed5fdca6,DF,29,12,5,490,5.4,0,0,0.0
Federico Navarro\61c628be,MF,20,12,10,968,10.8,1,0,0.4
Kieran Gibbs\46ee5234,DF,31,12,10,693,7.7,1,0,0.3
Eddie Munjoma\0e1f6ffa,DF,22,12,5,464,5.2,0,1,0.1
Jon Bell\658a3134,DF,23,12,9,818,9.1,1,2,0.4
Niko Hansen\9bebd450,MFFW,26,12,5,448,5.0,1,1,1.7
Daniel Armando Ríos\078b2c07,FW,25,12,5,373,4.1,1,1,1.5
